10000 10000
1 3124 -2.914600
9999 1863 -0.242300
9998 4263 0.300300
9998 1888 -1.541300
9997 8464 1.466100
9997 4533 1.448000
9996 3772 0.155600
9995 120 0.791300
9995 79 0.540800
9994 8555 1.649800
9992 4080 -0.991800
9991 6676 -1.103700
9991 2956 -0.611500
9989 5525 -0.653500
9989 1055 0.938300
9988 6334 2.161800
9987 8137 -0.312500
9986 8267 0.778800
9986 6564 -0.417800
9985 678 0.215900
9982 1085 2.438400
9981 2728 0.959400
9980 2992 0.544100
9979 9729 1.148300
9977 6122 -0.519500
9977 735 -1.107300
9976 9200 -1.636100
9974 9929 0.413100
9973 3193 -0.883400
9973 932 0.293000
9968 769 -0.699200
9967 8010 -2.719400
9967 6617 -0.657300
9967 4284 0.432400
9964 1715 -1.527200
9964 359 -0.204400
9963 8260 1.249500
9963 2731 0.168500
9960 4145 0.761500
9960 3243 0.161500
9960 1947 0.772400
9959 2460 0.990400
9959 1516 2.554400
9958 8419 -0.020200
9957 6162 -2.175900
9957 3836 -1.309800
9956 2976 0.126600
9955 1283 -0.468900
9954 353 -0.679600
9953 7370 -0.419400
9953 6758 -1.155900
9953 2846 0.455700
9953 330 0.403500
9951 9244 -0.200900
9951 6973 -1.384100
9951 1925 -0.042600
9950 8705 1.733400
9950 6456 1.303900
9950 5621 0.051800
9948 3487 0.110000
9947 6494 -1.622700
9947 3506 -0.053900
9945 3405 1.468000
9941 2119 0.572100
9940 5096 0.110500
9938 3666 -0.612800
9936 2834 2.135300
9933 6371 0.135400
9933 3903 -1.655600
9932 5683 -2.472200
9931 6007 -1.365700
9930 9069 -0.272600
9930 4979 -0.437400
9929 6699 0.207100
9928 6932 -0.402500
9928 6406 0.082200
9924 1041 1.437300
9923 9858 -0.341100
9923 8781 1.088100
9921 7540 0.623700
9920 5589 -0.831900
9920 1223 -1.425600
9919 2720 -0.411800
9916 7364 0.363400
9915 3913 -0.488500
9914 6729 1.458700
9912 4236 0.663300
9911 5214 0.795500
9910 7551 -1.043100
9910 2502 0.579900
9909 2398 -0.929700
9908 1075 -1.203000
9906 6406 0.535100
9906 2801 -1.288700
9905 3205 0.983800
9905 95 -1.292300
9902 7931 0.045600
9902 6498 0.787500
9901 7507 -0.735000
9901 4263 -0.749300
9900 1247 -0.043800
9898 8537 -0.335400
9896 8974 -0.745100
9896 6408 -0.581300
9895 4474 0.673100
9893 5080 0.881700
9893 2023 0.032500
9890 5406 -0.496600
9889 4040 0.272000
9889 1786 -1.531000
9888 9729 -0.001400
9888 8465 -0.040500
9887 7174 -1.069200
9887 4519 1.097700
9884 6106 -1.067600
9884 2909 0.747400
9883 9595 0.720200
9882 314 0.129800
9881 9905 -0.546700
9879 7373 0.192400
9879 2027 0.097700
9878 8817 0.248300
9878 7198 0.881300
9878 5006 -1.718500
9878 2715 0.925000
9877 8807 0.951600
9877 2417 -0.557000
9877 857 -0.328500
9875 5292 0.761300
9875 4334 1.377500
9874 531 -1.378400
9873 6718 0.060500
9872 3287 -0.412900
9872 1537 -0.552200
9870 8193 -0.563100
9870 4879 0.719800
9870 2552 -0.758600
9869 421 0.654400
9868 2692 -1.677500
9868 2020 -0.484100
9867 8865 -0.742700
